S/N,Project ID,Data requested,BI service,Delivery Method,RNA Box No.,Original Sample Position,Sample Accession Number [R8800xxxx],Internal ID,Client's Sample name  ,Sample Origin,RIN,Nanodrop Conc (ng/uL),Nanodrop A260/280,Nanodrop A230/260,DV200,Stranded/ Non-stranded,200ng RNA input Vol[ul],NFW ul (to 8ul),Input plate position,RNA input [ng],Library  Prep Plate,Lib_Conc. (ng/ul),D1000 Tapestation Library peak Size(bp),D1000 Tapestation Library Average Size(bp),Library Prep,Well Position,ng for pooling for 1pmol,volume for circularization (µl),ssCir plate pos,Qubit ssDNA Conc.[ng/µL] (>0.6),"DNB conc
Qubit ssDNA ng/ul",Index(*),Sequencing Mode(*),Required Reads,data output,output_ratio,Flowcell ID,Read1 files path(*),Read2 files path
1,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,A01,R88009217,,Ctrl_WT_EV_001,Cultured Cells,9.4,52.3,2,1.7,95.5,Stranded,3.8,4.2,A1,200,LP 13,36.8,467,464,LP 13,A1,306.24,0.83,A1,2.98,19,UDB001,PE150,40,47.8,1.2,E200015101,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200015101,
2,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,B01,R88009218,,Ctrl_WT_EV_002,Cultured Cells,8.5,59,2,1.9,96.8,Stranded,3.4,4.6,B1,200,LP 13,42.2,464,468,LP 13,B1,308.88,0.73,A1,2.98,19,UDB002,PE150,40,49.8,1.25,E200015101,,
3,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,C01,R88009219,,Ctrl_WT_EV_003,Cultured Cells,9.3,46.7,2.2,0.5,97.3,Stranded,4.3,3.7,C1,200,LP 13,36.2,469,468,LP 13,C1,308.88,0.85,A1,2.98,19,UDB003,PE150,40,48.2,1.21,E200015101,,
4,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,D01,R88009220,,Ctrl_WT_Cre_001,Cultured Cells,9.3,59.2,2.1,1.5,97.3,Stranded,3.4,4.6,D1,200,LP 13,23.4,453,454,LP 13,D1,299.64,1.28,A1,2.98,19,UDB004,PE150,40,33.6,0.84,E200015101,,
5,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,E01,R88009221,,Ctrl_WT_Cre_002,Cultured Cells,9.3,57.3,2.2,0.4,95.9,Stranded,3.5,4.5,E1,200,LP 13,19.9,435,445,LP 13,E1,293.7,1.48,A1,2.98,19,UDB005,PE150,40,53.8,1.35,E200015101,,
6,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,F01,R88009222,,Ctrl_WT_Cre_003,Cultured Cells,9.2,57.2,2.2,1.2,97.1,Stranded,3.5,4.5,F1,200,LP 13,44.4,469,477,LP 13,F1,314.82,0.71,A1,2.98,19,UDB006,PE150,40,55.2,1.38,E200015101,,
7,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,G01,R88009223,,Ctrl_D3a_EV_001,Cultured Cells,9.2,45.1,2.1,0.8,96.2,Stranded,4.4,3.6,G1,200,LP 13,34.4,458,467,LP 13,G1,308.22,0.9,A1,2.98,19,UDB007,PE150,40,51.5,1.29,E200015101,,
8,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,H01,R88009224,,Ctrl_D3a_EV_002,Cultured Cells,9.3,29.3,2.3,0.1,96.3,Stranded,6.8,1.2,H1,200,LP 13,32.4,405,419,LP 13,H1,276.54,0.85,A1,2.98,19,UDB008,PE150,40,62.4,1.56,E200015101,,
9,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,A02,R88009225,,Ctrl_D3a_EV_003,Cultured Cells,9.7,23.9,2.1,1,96.4,Stranded,8,0,A2,190.9,LP 13,20.6,446,460,LP 13,A2,303.6,1.47,A1,2.98,19,UDB009,PE150,40,40.6,1.01,E200015101,,
10,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,B02,R88009226,,Ctrl_D3a_Cre_001,Cultured Cells,9.4,37.1,2,0.6,96.7,Stranded,5.4,2.6,B2,200,LP 13,42.6,475,481,LP 13,B2,317.46,0.75,A1,2.98,19,UDB010,PE150,40,56.7,1.42,E200015101,,
11,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,C02,R88009227,,Ctrl_D3a_Cre_002,Cultured Cells,9.7,18.7,2.5,0.3,95.9,Stranded,8,0,C2,149.4,LP 13,28.8,485,487,LP 13,C2,321.42,1.12,A2,3.86,20,UDB011,PE150,40,35.1,0.88,E200015101,,
12,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,D02,R88009228,,Ctrl_D3a_Cre_003,Cultured Cells,9.4,34.8,2.1,0.6,95.7,Stranded,5.7,2.3,D2,200,LP 13,34.4,447,448,LP 13,D2,295.68,0.86,A2,3.86,20,UDB012,PE150,40,34.2,0.86,E200015101,,
13,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,E02,R88009229,,10_6_TNF_WT_EV_001,Cultured Cells,9.7,18.6,2.3,1.3,95.7,Stranded,8,0,E2,148.5,LP 13,30.2,482,486,LP 13,E2,320.76,1.06,A2,3.86,20,UDB013,PE150,40,44.1,1.1,E200015101,,
14,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,F02,R88009230,,10_6_TNF_WT_EV_002,Cultured Cells,9.7,19.8,2.3,1,96,Stranded,8,0,F2,158,LP 13,23.6,478,474,LP 13,F2,312.84,1.33,A2,3.86,20,UDB014,PE150,40,46.5,1.16,E200015101,,
15,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,G02,R88009231,,10_6_TNF_WT_EV_003,Cultured Cells,9.7,17.8,2.4,0.6,96.6,Stranded,8,0,G2,142.3,LP 13,30.6,473,487,LP 13,G2,321.42,1.05,A2,3.86,20,UDB015,PE150,40,41.5,1.04,E200015101,,
16,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,H02,R88009232,,10_6_TNF_WT_Cre_001,Cultured Cells,9.8,20.9,2.1,1.4,96,Stranded,8,0,H2,167.6,LP 13,13.7,461,466,LP 13,H2,307.56,2.24,A2,3.86,20,UDB016,PE150,40,38,0.95,E200015101,,
17,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,A03,R88009233,,10_6_TNF_WT_Cre_002,Cultured Cells,9.6,36.1,2.1,1.1,94,Stranded,5.5,2.5,A3,200,LP 13,22.4,483,475,LP 13,A3,313.5,1.4,A2,3.86,20,UDB017,PE150,40,44.3,1.11,E200015101,,
